number,name,status
285,PEP 285 – Adding a bool type,Final
284,PEP 284 – Integer for-loops,Rejected
283,PEP 283 – Python 2.3 Release Schedule,Final
282,PEP 282 – A Logging System,Final
281,PEP 281 – Loop Counter Iteration with range and xrange,Rejected
280,PEP 280 – Optimizing access to globals,Deferred
278,PEP 278 – Universal Newline Support,Final
279,PEP 279 – The enumerate() built-in function,Final
277,PEP 277 – Unicode file name support for Windows NT,Final
275,PEP 275 – Switching on Multiple Values,Rejected
274,PEP 274 – Dict Comprehensions,Final
272,PEP 272 – API for Block Encryption Algorithms v1.0,Final
273,PEP 273 – Import Modules from Zip Archives,Final
271,PEP 271 – Prefixing sys.path by command line option,Rejected
270,PEP 270 – uniq method for list objects,Rejected
269,PEP 269 – Pgen Module for Python,Deferred
276,PEP 276 – Simple Iterator for ints,Rejected
268,PEP 268 – Extended HTTP functionality and WebDAV,Rejected
267,PEP 267 – Optimized Access to Module Namespaces,Deferred
264,PEP 264 – Future statements in simulated shells,Final
263,PEP 263 – Defining Python Source Code Encodings,Final
265,PEP 265 – Sorting Dictionaries by Value,Rejected
266,PEP 266 – Optimizing Global Variable/Attribute Access,Withdrawn
262,PEP 262 – A Database of Installed Python Packages,Rejected
261,PEP 261 – Support for “wide” Unicode characters,Final
260,PEP 260 – Simplify xrange(),Final
259,PEP 259 – Omit printing newline after newline,Rejected
258,PEP 258 – Docutils Design Specification,Rejected
257,PEP 257 – Docstring Conventions,Active
256,PEP 256 – Docstring Processing System Framework,Rejected
255,PEP 255 – Simple Generators,Final
254,PEP 254 – Making Classes Look More Like Types,Rejected
253,PEP 253 – Subtyping Built-in Types,Final
249,PEP 249 – Python Database API Specification v2.0,Final
251,PEP 251 – Python 2.2 Release Schedule,Final
252,PEP 252 – Making Types Look More Like Classes,Final
250,PEP 250 – Using site-packages on Windows,Final
248,PEP 248 – Python Database API Specification v1.0,Final
247,PEP 247 – API for Cryptographic Hash Functions,Final
243,PEP 243 – Module Repository Upload Mechanism,Withdrawn
246,PEP 246 – Object Adaptation,Rejected
244,PEP 244 – The ,Rejected
245,PEP 245 – Python Interface Syntax,Rejected
226,PEP 226 – Python 2.1 Release Schedule,Final
227,PEP 227 – Statically Nested Scopes,Final
225,PEP 225 – Elementwise/Objectwise Operators,Rejected
224,PEP 224 – Attribute Docstrings,Rejected
223,PEP 223 – Change the Meaning of ,Final
221,PEP 221 – Import As,Final
220,"PEP 220 – Coroutines, Generators, Continuations",Rejected
222,PEP 222 – Web Library Enhancements,Deferred
219,PEP 219 – Stackless Python,Deferred
218,PEP 218 – Adding a Built-In Set Object Type,Final
217,PEP 217 – Display Hook for Interactive Use,Final
215,PEP 215 – String Interpolation,Superseded
214,PEP 214 – Extended Print Statement,Final
213,PEP 213 – Attribute Access Handlers,Deferred
212,PEP 212 – Loop Counter Iteration,Rejected
216,PEP 216 – Docstring Format,Rejected
211,PEP 211 – Adding A New Outer Product Operator,Rejected
210,PEP 210 – Decoupling the Interpreter Loop,Rejected
209,PEP 209 – Multi-dimensional Arrays,Withdrawn
207,PEP 207 – Rich Comparisons,Final
206,PEP 206 – Python Advanced Library,Withdrawn
205,PEP 205 – Weak References,Final
204,PEP 204 – Range Literals,Rejected
202,PEP 202 – List Comprehensions,Final
201,PEP 201 – Lockstep Iteration,Final
203,PEP 203 – Augmented Assignments,Final
200,PEP 200 – Python 2.0 Release Schedule,Final
103,PEP 103 – Collecting information about git,Withdrawn
102,PEP 102 – Doing Python Micro Releases,Superseded
160,PEP 160 – Python 1.6 Release Schedule,Final
100,PEP 100 – Python Unicode Integration,Final
208,PEP 208 – Reworking the Coercion Model,Final
42,PEP 42 – Feature Requests,Withdrawn
101,PEP 101 – Doing Python Releases 101,Active
20,PEP 20 – The Zen of Python,Active
13,PEP 13 – Python Language Governance,Active
12,PEP 12 – Sample reStructuredText PEP Template,Active
10,PEP 10 – Voting Guidelines,Active
11,PEP 11 – CPython platform support,Active
5,PEP 5 – Guidelines for Language Evolution,Active
6,PEP 6 – Bug Fix Releases,Active
4,PEP 4 – Deprecation of Standard Modules,Active
8,PEP 8 – Style Guide for Python Code,Active
7,PEP 7 – Style Guide for C Code,Active
3,PEP 3 – Guidelines for Handling Bug Reports,Withdrawn
9,PEP 9 – Sample Plaintext PEP Template,Withdrawn
2,PEP 2 – Procedure for Adding New Modules,Active
